h;r;s;k_lsb
d653f4c3b52eeaa59ea8af2e84eef9c3d13d009f;f464a1e38a39dd620743d5388d15864efecb3779a850f65d26c2645fbd3154dd;d14605c7394abb2d6ee050c4f60818a3d66032f4e45f571829642b14e53e02cb;11111
b777ccdadaf9ded75e252563d90e799271c22b38;a847c7a41126cc08a018f455f926b2581dac23f5b1a3fe59b30eab8c317c406d;b8dc34cee40c8294ad5256f6fdf8cc6a8298a32c9002fdfcb0aa94a00f2a496c;100001
3908b02e0ef2871984ada759975a2e36642fe074;1282259e98521847bcd6074a49521023a1dc6d5fe23965a6c8ec7b979ea8b7b1;7195f214ad8f622197c500dce9ddf65aa095d04aa433171e74381f58f524c006;101011
3b9fee4ad172d7828f3a54231eaaafb6f8a48b86;f93357060137368766edbff909291471521d82fd79f1b34ad7bffb481845098b;3090f98db7f91b5ae8d17d1b21d56486b2b6386bd27a3a35f15eb752922dcdfe;1001111
d8177ecc252de9cf14f2f9b374e9b3bc1421174a;fc2082dd233a5ef99b65b5e5f0d87c09d8af094c72f019efb111490b1051fb78;7d6a1eb6e414cb03fed47754389c7a9fccbc2d9c56fb74f789411200b1a01aa3;11011
a133f36fe5e16a6b227c79e33c240981cbef635b;817d8fc635067b35ee1b299b43c66c2db2eb5cbaa0ee2c93fc374798834484cb;db6516cb5975db8be8a0ec0ab2b814057549d421842bc8bf7eb0b364f5cc093;111001
24b82684a09adec41abd3654159ff1186595894a;7fddc897771c43756f41e9303377afba19df037e3cbbfca55035b050a6a476;1ed52d88f03ef56a7eb130f3f578c08740f3678080dece93b79f0cab59b56b8b;1
cadca8a4758e5eb280e05a256cac96f9d2792325;26bcd349903e06a6a2903aabe0dfcfe5939fc088cd230823249def803b565c7d;317e9c249d8cc9ae9abeace27aeb05440d9202101216dfbca54e321a703e3ea1;1101
b2d25c2140bd8f96e170cbda25edaa6e4b6ddfd8;323229a12c3388a13e74a57cbc5713dc3be8c6f6f642235fae759a49866e2c88;b82a41fa72fbeac7e6a177d06f167913e89605c7a030305817aa3aacb5920516;1100010
af79efe61fecc20ef9f6e5c94e8fc78540f3eecc;b6d7d18fbcd1e3fb978993f0ad385c4b78f754dad5a62eea73ae210df3bfd472;67480e90c66aaed9b6646ddb5daff3537dac6a34a732fa82dfee587025984ab1;101111
f226f7a8138769e65efb4d09fd8c50480706bd09;a9944914318f569833dbb4f637bbd6324f45f7e06cbe521d73231b7863bcf665;9d019934c41550ce67eec09a385d168f605e2aea6e668f78fbd9690f4ea845d5;1011110
1dd9e4610b86bb4f32d8890b44915ded05abdf25;ee85e8e9446bc5c94ec18548a9cae4ed8045c404bdbde003d55efadd4956d9de;4d100ae3832a3398b2d7748cfa9368f2b6192149659d99ec92f5b42311eb4d4f;110110
29ecd3b8e1fd6cb97270863111caff9378f1118d;63c5e2f9a93666d250d77c4d741969bc1b483d24850854953299bcbee964cac1;bd791bcef9cde6d912c4e1edc659bd82129c757922979a99c980da6883cc68cf;110110
c965f5f99758fa85c88657372ad3a2531c8c7562;33dbb0b57c584dfeefcdc34af852ba0152b885fce7527b1e32d2f735af4ad2e2;b691c86f99d3e7a1e936a7030d4056b4fe6037de53ad2e8fe202f8cbb2287584;110011
5e4f0cd950b47f2f0351d60332ffaa3b410deb8c;e008a3c999b1761b066ec43f7854905cff8fbbca0e9b8c1ac7c4ebe74cc3402e;7cfe6a8a142e0e77b7ed1e66e9dbafe07422996334a55aa96e478a1cb4505a3d;111110
dedecdd4d92711810b6caf791588fe209ba9fa88;a32178d06a3cc55d5aa217abebd0bc0074f85219c6b0f4b6e2ff2b856ea7b9be;88c67c9c0e4d3f629ecbf2e90dcdbc19580386729a3db046ba0d73fb5dcd94;101000
938834e6fdf93640ca7dce13439d38fe32d058ca;944253735792f1bf8cf52c814322e0ab818dd5e4faa3ff1cf015ea18eb4aec9d;e1a4f9c4d6304bd4fbf15d517d452338518f66c78c150f9b0c6affcad2dd5535;1001100
680228e292b44ce993613a0eb7f8a3c3a4f95657;ebb0ac932bfa8ab04034aecf399c228fbd030a8de15181dfecc4639822b18330;611d16bf8639baef4360b537dfaaa446e7835467bd54f95938ddcb846012b911;111001
50f410feb6ec33548bb4adb006745ca736a3748a;8bb651ae445075a830d39e831c44408baf8a1c8e9e009c4a295758535366480a;93c1364726426b00ec6e946323c29c8e4b9783ef4681d43c90ab87b7beb3d995;11111
152e26ee98d5e0308606e4020867aa5ea6cff008;fe6170c73d48716dbd611661abcfd96bc465fb5229515813439b41b0039ebc2c;8843326e779ec8c154264ec32526ff1451f57f65b3377db8ef492102bdc7520b;110011
d036bc7b7f6c8710245123c085cc204a1cdc8a48;af71857525843b4c963ecbbb1b7d988eb27e029ce1c73480cab8546f6d2cb057;a8a9a28170b3c1a8a7458fdaaec2fa58fe5b6b9f1de8eebf485300dd4d4e9874;100010
7f956bd392beb35f71960d850ba8f5720f1715a;2995699355d0255b045ffe3fff09ae33e6bacbd41474cf26d31e4bd381aceb4d;5807ed1bbdb9cbb86acb558ca9ab4c74a94d2c3fd5c077c99070cdd21f734d08;1101110
c613f800927c092197c5329f475e695c43922;aee5cbfac6d00fb432a52f21fe0d93d2928cd99bb63e04c2ccbcd38715445bb3;2088be22f8a09f20ee106124bf25f687b9d01adeca2ce2a1e1b6be50c6485d51;10001
bf7efcc5bbd9307295dfd35675376eb38f43a379;761c542e8ab221254fbee9797172541e3517d3bea688b7a050f6fb14fe6d050a;86826054710314f44dc084d530cfe92697e5e7fec7c9336a39555f944b2381fa;1111000
e0b8b61e8c5dfabcf5d4be10afdd57b3d60891f2;e999441ef712258f3717bf406cf0ef4ef22caa9bfdac68962cfdbee70d644b4c;bee503cb45027b92648915a3fb893d69e1d67484bc4a5881ded187d88626c4db;1001101
db3c84f20870675e8516b7084502908b32bb1216;b7100228a2251d25f795ba602ce3338eff343fae92cc2d44b1483d4d765c723;dd25f95e96b0ccecf3a2b6b2ea44a198cc4bd5a44708ab4e9d8991e99ce21bcb;1011011
b54c477c8539d6a24932d09e5de5a6ef037ac30;ca8fa75b9d796799d2a576050fae8ff4306a53c158faedc9bb5bd219773f6a0b;d53e9e6b21df1fa9dbc7e234ea28b986977450cd3e0d2e74aebd519b0f5e471a;1011110
43a54776a69b75921b2aa4a3436a3863a4b06608;c3fa998f1b6f8f907ba33033a1eb8e77131c7edf2493f0f6a87f103b103ccc7c;e911b438b061163e11f034adc3df82520a290d25b8c8cc5689df9581e9f57147;11001
77a7c612e516ade374efe5ffc879624ac2332c1a;8ee242a3aecf44a5302f8890fdfbc5baafa952d170738db751a5f0a4f206a05f;5cb6022e6ee4d6c9e707c96f26e2c9818463238c5321d955ed47cc5a657f6f5a;1001001
add2ade7394e3862e7e9ba904a4d9e50efc32556;2849fe3b02ee22b238ce0bfb233f2c1af46cdd50c9608db582f29fcb6926f86d;492620c23d4331f14383c4edf7a15438ba19f9968a6856a478787a7435c91d73;110100
7605eaaad1dca31ab125a4ca46b73dc5506ffd00;72e153a4b5966eca8f3f260317b1516805e5fd4970da13c2404ae536580de6da;cfa1ef3bb7cee69d58712236c55d8ddbc370a5cee46d49cd06f70a9de8fa6111;1010001
5e0b3ca33088f41ddcde44a8aee58aeb56b82ed3;d7b277ead1d5b4cd7c883d6b6c954169c8550f13ee29802715a0866db0c682ae;44b1f51a63f01f8ae83f21eccc75eac540259a44fdd6d2f8acf5418e0e87c507;1001010
8a741ef42ccd9766772c2eb29576fc54f563a2bf;e95103c6c14cf7420b6f3684370ed948c37a0fcfc10d08e4fec421226132ef14;afb54e0f5015cdd3f3138d64998b39952bef0d759fde94af01c854c2cd1a0b26;1000110
6edf1ec62af7b2834fdecf403e2135c68ad86af;6cf3b9b61f8a2e17efe1f5a706f936914d74c3bafafbbf2bb75bad77750e33a8;de67782863b18ce936b4077cc97adec50b8032014b68ea0a08428eb99a68c411;1011100
12c501fcbbb0d984e438b3fc202fc6d0d55bbb5d;b01ec4cb39cd4dbd6edabd70e0d54501dc93dfdcc395338f8fe533acb21b9d65;234c848e0df3e636d004cdaa0f0fad20a9e234bb4647400fe685474cd5e3d1;1110010
ee06f16130dc62dc91fed8aefff1ae276a5413f4;d990aeee9e480ccd6a761bc9b31a21ab564207e525cfddfb21524f0611ff98d3;13e36efa3555d6e63c8c2eb984bbacfdfddc1d7f4ee86531477c23a9a3ab57ee;1101
724e62c472f18879e3a86482bc800dea971ff9c;af6805faaf95191f9b45bc533493c443a9d26186e9cb39dd938ed29fb3f34fc8;e637cdef2afe0fe2e837cfd86c2a69595b44089df7a4243200a20980a1e6e381;1
fec4e61aee7bb67a3b71eff6bed1d0d1437b7c01;8df0587651a355367e33e51b91c3525d3de4c65d846c95f11f573cb40f36dd39;cc1fc8790fbf801e24fc211fe42591364442d342ceea733b368722e92da74896;101
860e98c4228a692e0166ec8d3556b72521a3ba84;3b8ad152928349ade313f476d84a5f4d9838761821df137b47a5b7d0303f03e3;b5b4444b6100685a357a1fed89dc9c823a4d97706f21cf141e2ec3f7682af6f8;1100010
62fc9dfdf44a249486286f2baca4ffdf0f2b6a19;537149e75c0b6026188e25ba9ae95dc46b81bda35fdf7fbdd3a2ad765a80aee4;ee1113594f43a8e50e65a6403bb734b1aee13d788118169897fc3d9c22030d28;1011
a8f28bdd71221dded04ab587d4107bb97d53dc6;ac5083be482fce7d170ad8c48e3ec16b34d95f98a3391f9a9d8834624ca52630;b456d5b5f475b7150d8001c11c826cb46afc3347d76613405dec1c29efba37b3;100111
e2b6b75c7d8afe591879e0bed96a1ba9648a0b98;e72f652cb926b76d3c1657181ba3da18f7f40b913fe6e81999bcfd2a8444335d;7bddaa71c882b4a0afb5c9802b89a79597d82ee4cdce50bc7b213a090f994ae3;110
26893f0704916611ddc28f25fd260e6075ef11b8;3397f67b85447fca78ce4cee98fd493abe42802c8f78422f88e246f32e99a904;d79f3f98be561682aaa2cd18aebd1fb31f6b8c99936775c040f071861000f696;1101001
4bcef7bae1d93842761da2248d48410cfea4a7a1;cfb3417b498fdae85175f42fc5006411997362e2d08768a64278b9e10663349d;2452daefeefcc425ebd6e4b69dacd41682f059d4e5589a8bfa1a2239096c33d5;101100
87adfb4284335b681b5548560d516bd9a12592bf;96f8659a5aba266456d2ed68c3ba2b5033bc47f9a3023f6fefedad41f4e88c4b;f8cfc0ee4b764ecfd1aedf60337c91f0eb7d9f4dc48af469d3d3dd2615400810;10
445cf1ad9ea6534a9be931281dd1fe85f0e5045f;5dee88d1d47e44e6e2255ae0286f33c077c7c6ae53c00e2defdca8df38596211;7474d6d0cb87bab19e7222fdc75dee829ff68d27d1abb5a8c9c4285696187772;11100
f47d976f3246c610351d4dd3b629de4ff3ced1fb;c1467b5a517ffeb28f1af93015c2ec948918beec2aa491c4e4654d5c4ece7488;9bd28a23a9e6ebe9598d322f908ba1a08a687f2f2d9fc3f90a70b328b7c8f899;1110
fc18881cb02652dc47cf233e7da40ce47cb50a8d;b5bc0a72d88837be0c9c2dad3fa2bde33fa2f8e3ba1772597b30b5c12d3aa213;13a9a0324aff080553039da00088415ee5cc0bbf9fda580de92b3cea27c3b848;100
2094864b63808ae6236d191b42cb27ff59a4465e;9dd321b95ff6142789eb43e1a9031ed9d3a31f82473eca53c52a0c4159ae520a;a0de74ec26c9a30dc176594307c2d63682c8845e3dc33261a97d1265000aae80;1000100
a82eea8ff54470fd94fcbe04bc94f5fa106596da;b494943ac68243d55cbc5af9f6eb71f35e5973ab7df915be703f0b43ae30fc56;7c8e97aec24db6d86adfbd69f43b762af5d81a106aec9e00748c0b1372252b41;100100
30f2af28f7bb7afb55cb571546b14ecfae4f00c1;25b5860d51ead5066dc2ae98f8db1b9102364fd66bf2b8e04d55b90d4ca23c01;68f537907ef2a439199684cd9878152025828cecd99577b5b2c6514792b8c6f9;1111000
af56422b6b2230b7b8d92894aca551c6a1c69c5e;5edb7fc1a3ba2ac882f48608dfb4654678c8b0b84a7a49a98cca1cbbce45e424;f9c3beaca02bf46754b57e428ad73f93a747b1402b83aa1f5553feb673b760e8;111101
b5955236da4f49c15c859b5bde2d1dd087267678;3507193d98527443efd3fd90ad16a4291b38ff9ac4f4179590d04eb3dfd1c2cd;c5df3fcc972156c8bf9c81bbd9366afc609b417b43be34f42fad05befd5bbe70;1100110
9468f8b7e380daff3fa6a2a285dea8fcc716518c;18b934be198667e00ea56f3e727717b7aeafc87d2fe6578e5fb8f5daec36f7fc;83d4b2c422869d30a30f4f0efcf653bceb90a2070e23f1b25bf9c530dfa89fcd;1101010
1aa34ff88a59a11fe5d5546df3cde823c8ed9f9b;5baf32ecfb35e312c5ef17b03a31677e17470ae37c7c88ebf1e0408444975b4e;7b2da144e15d520d0b62454375aa90df3ea2851cfbb071b873adbbab38f946f0;1011010
7629b948faa9d5355d53dde16aeb9942d2dd3a1d;e5f375a84641684d3bb2d5b41dcba4912c5fa9a7cc7c3e709268b935599b3a4e;d6fea3213668bb1fab2f1e02eab87da354d63a5bf8f8b8c8a7e3bdd5b4c50500;10111
8bcaac71e5283f091f610f5ce5870e449784dfd9;5938acbfb82939ad95750b59bf038140f43fc06323dabc89a963a0825eafe679;5cf00e76eb07b5b63c47c94fe9e7f07eb42cd259d91b2d025b995a9cd55395dc;10011
8bfe6ec9399d71cc50e52e72f1287b9700212138;d31a31e933ca0a73cd438d28fad1de3d42902e1feb241494f39c19f366a8f210;d72aae7c3e3491f520d94a86fe16d06280442e5e7d451d4bec51630e7d699986;1011010
108b00a48d7bc2eb4a15e1097d82b3a5228b5c2a;1b81096b3af3668f10cf67e30e21c16a924c82cd774445056ef320108c23366;6ef6aa37be885dfecffb1771abf5382219e2d0209010b1405d991667cf0e0202;1110011
2cd1e5f0f2b87639f0e84760756a373b9a318746;b93e0bff43c11b27f5a79e21d0e13a7758b6b2bf7b8709ff56aa7b2cf57b8547;87788dd3248a32fabf6de83dc5df86f0c71f9ecab034482b5cf20eb16b2a4fd2;1110101
fbc54c323dc58fe0a47eae9593a2191bad05a810;375b7e16a93d53db1e4a4a2ef469f7b9a3c0002993405b0de2f71604ab7dea7a;e87cf2214be0e67dcef4b4cbca718cbf5c3b7a16d507ddb5d692ec9fb626d448;1110010
17e9bec083be106896a2fd1e7cfee061a013c935;e696ee215802bcecb9f79508b5b4592e22b7b3634dec63b0d8dec9e330de2556;e956d31cc9e4a4714fc2dad2ce0350f7d80de603d9388c1173d7f3054397b69e;1001010
34fe45606a931ad4e058e96901455d0bcd6f33e9;6b4e50a613d3b87ade7cec50e55b345ea351445de4385708a4517fde8effde12;a810a61ae7d6786ca4b92794738fbd8c84f5a342e98a13cabf79db05448c46ca;10110
65cdfd48b30ddbf4154c4ad5dfe49315715a7eb3;4f4767905087987b130514f6982834d3d06bd913f81657fdd10c844d1597cf8;7363ffc0b3546c753f9578960ee3993a16f12cfa364766ba05cb1c0e345f4d41;100001
7babd3b6a1c3bc4de3d91db32721e3764a54d7b2;5ed45158dae7904ae3d904a631db41196d19fabe96784586439d6c71881a6fa5;e820a13eedf75820940849fa582f041bf30f4e37dff613076ea130f0f6507d13;101001
e470cf935d9a14caab54dd4259c6aab4a8b51c33;6e1a2fbf27fa96206bb2ffb9e644e0336fc77d0943d0f218153e05b95a34d577;36a89cd8c283fc1b5e5f36672078a1de6b9c504e60a63a2d86733f102a76ac6;1100010
6df6bc1ecf48ca76c4e394486c6723a4c4d26c6a;a32748cc17bae5ab777085dc1fe958fe9a066206562e196fd20d17b19a1dd6be;280bb84b86b6fa7ce01f6e0287eb5b14280def234a1cc977250dac8e583d03e9;1101100
c0324eaf2921c12d85023ab09ae5ffab6f030aa3;6bc37aac5987e3cbab2e04118675641f56c0006c82528c75e62ccd2d95be22da;b4a15c62618731af2632ce24020e5fa90e68a99802ff4ede217144c74ba22133;1111001
d4b74ef7d4a5e365e9d09e42890a295a8c22d534;925c7976859af494df60949ea56ece47b8475cc866706bb7e587474e8b90fe8c;d4a19640755f026d7eea7b47fde2385f6b2146b92b657e2574074961cbf8c965;1111000
82d6abaa343f6c84549bb30b74a11a396648ed34;ac105184bca9347494627c9e42075817a8a1218d65a5d442a894f8c46400e47;697192ee8b3f24b13ae17395f4ac629f38f7a77e964a2d26e1d550361322334d;11110
3b6681f57c36e5d18eb497a945072fa3286d2d30;b32a61c91cf146934c41fcf885d5fc8ca5b8ad9691d3cc097cb4737e424930ba;6d61587c01ab4704b112aab6613a4554be38b2f292156bec23d890a505ace285;1110101
c51595385123d303250c588be64f66cf8ddf7f2;50e2cdb470bae5bdf19fc0336800dec6454d34362b3f5abeb826b3f684ef70ec;6b83081e379a7f067e4c4dd7c84216ed4c77ca0e4c87d32a4647cc0072d767a4;1011011
e0a1515d26ced50e6b04a29373e0c5fc139b21d1;1b947e09821347f52abdcc25a70f896b5aeaddda0e8c6c949ab069c7e8a69392;bee726810a0905ea3b501a413b96d8ef3a60c7769859611e022cff3dd2142f1f;10000
d27620432d3472404f3552e8898dc87e2aa76370;8e022e61a2a8d6b81e363821a0ce6c067f1bfb25ffbe4170089342b58e68763b;ccc1861a87df98ed66994dc7a014b05f3285b060382c48ffd0b47eb6d1033fbd;1111
c023dfb25bd4f47399e37436c5de500d95d7a00;5060d9b10e792ac612e4a905ce8404faecfe837b9d761d4a0b1284e82c168738;d4924746283d173e61e137cf75a75e9141687272823392cdae5aaefdc21dd923;1110101
52cda952b184a8006c1f5598909e70e847dd6d93;a25d1b65d5975c10f0e38d2dbb9a12ff497d356cae933dfc1a784189aef498b3;377da64f55cab377435c8fad8a43e2695f24d11a8ff2dff276fb783d0207e973;110010
6f69a025b7c0d9b7486fee772212d9f8a7cab6c9;3fb6c1523ccd6068f86a93ec8a4dad88373cf3233cab286983ccddf51e1130e1;e75d025836ac4efd4607fe7f5f05a2b6b6bfd0228fe81a4afad11a8dbae9366d;1000011
7429866c49eb9cc68105a7b9d387560c562f4413;f5f724bfc15c192f0df0eae87772d5ecc8ca2fc6eda7826d01b781f8bf9a1a56;a5fedb88b11b6e8d3da38f74b917c83dfdd936c98a74f0004585e344aa31cccd;101111
4f1a308fe91091f021028f40d0120799feb6e78f;6241ae58ca170071adf38ebb4adbd08fc513bd1010e90cce3cbe203abdc490be;47b0df9f05f84bc980dc814aac2a13a9859ef39e81f3a38e98fcbe45d5b9f3d;111000
55633c6a29717e824ae69edf8dc07a77783fccfe;3c799d035e5a94ab95ff94a37ef5509a9ea0f34a0ae5e903bd217c7406afed98;145d2ca1aa23ddb578f7ffb0a6d77f5382b4a723e7a62b900d31aed06666fadc;1111001
c2af6ecdd089b469e33854c47decfc074a595958;982d06e9c8a14a0581089d96592cc859c50d8139f4bfd24a996d81c0ea21ed52;7cb58a49f964a8b2bd1968910c76315fd5ca2c76ef24ffc2c5e2434026f7ee26;1111001
abb262023c98ff36c6982ca40a60658180abe09d;f44c6dbacb1360c359e635c8163fc4e17292dc5ba9bb5b4c4d63c07a0cb90103;6da2339f5fb7c96eb8f242ca2a8331971dccf0c35994e65eaea15234f22fdae6;110100
af3ac6d0e020bd4e38ca0aca0178bffbc8ad2c19;aa7e76c18d3b03cc89ea094341795ab6632fb29dae14e529eaf4cee2214e21cf;bf2d793f68a3aa083ab3a7f413f63d583d4777e03775c0e5308d94babf969ad0;1110001
795e0ad8fd14ae1f2ba3f2b66a1bcc8ded71a23b;7fae0a4f4c9e5dbafa6dcdb894b48c21475aaf4a1fb21c65c72b76fa0e851b25;7a499867a7566b5415ac1ff60875e068e39d1e417a4750cd194ba7f74d196669;111000
5c12413963a58724695349067727789557fc8559;2de5ae5a18c72fad68a10663688348b4b77c34303e05414fc5373780b21d0cad;acd4a2e1699de4d3eb8a53c7b0d79f57d362deb3697fe59efd8faf7ea323066;1101001
c34b9034864e077e27f96505eba243191c38dba1;86212209a9487d4b56f98b55b55fe68b226a6afc05ebf87d01c498365e21289b;b905e0e6330b6f0ec8c464eff158fca727977656ce648eaf5c0893430c892954;100110
b8dff063adc95578582b0379632c581013a1c0cc;262f67b8bf18864c948e0304431e4b59f9f2361bb255aa7efdbc1abf9f451ea8;5a2784f0de15f6a6b5430aeb4e78ddd0cef4928ffa6d59b8a0f851c1eb40eea;11011
95d91a4af2e08e33a2b99e5510ff38cdb725d192;e3b218162a3658cd8cca6cd80049013d9d5d5f218202792724d39aacabdc5611;fb3448e293b914f3ab1cfea9de801e11327322dd908ba371a93f27c56db69129;10000
a068b4dfc87cb343e1187b51312a51b8b505bdcf;b2b687619c2638281291cf4941ae3438a2e7f822304d46e490c6e64c9cf39a91;964bcc3882e569d4427d6103b3af87c2647b72a7dde43b2c2ba5d69e0ad3d7;101010
be8b717f2b58bcca42db75f0af8411857d79f9f9;cb32a9dc75d60ef59ba82fc4f90d158489f43b5297d9b0e8134902bad3b0a727;1d7c797db71b69ff0f0fb9942f75a286bcd13e5222ee3ae2f20dabfee28d2dc6;1001000
67798398c6e2dbe946c29ad91954f58f078611e4;52b5ebdb05a0c2e11931711873f07b75cfaabaa9c57c7bf2ac0beb5bedb313f3;8cd3f5da1a37ae6aee32968cdb613db880ff6b6ba231f938f2c2b2f30e254ae7;1110100
740590afba0f17290fb86f72ac24ed01c0644e2f;8e66b9c95146466667c89f62d60fdbe14c62c3bb7abddb703345a9df4bad735c;ff223d945f20bfb616767677eaae1cf26401ecadc1eed3ffe26aa28b3422daa4;1001001
40661d8e3df90f5f5f5e0c6a8162b9099fcf3ef;2ee8c5afdd874c0e1c32b3080f0fef635fe11913bcee442b5ee171a8eddb608b;da49e6655f47826a48e14580e3a8727000b708437a50b1d0a343950aff782f42;1000111
a0c620bdbbfa204de8b31f0d7c902d14e2431259;65d365dd12e21d6d25ea2202ac03999cf2aee0095b07d9a8fb02b86daa80992d;4cc397037285a32320c9c56a4343b5cb8ec96e7ff9a57fe4ea58d353265b9daa;110001
47841ece14964252d5e95aedce937ee7ba18a2d6;d28a89f0abc81f5c944ba6752de41dc15a1e239e1a42e2ff281e6c2f86270646;62fdbff39f6ca9f66f7b0e8667286300d7441c085c18ca47d666ae4714cfc835;11110
1df93c4aa88d08b99d81c60b97d0483c92433c1b;1a4d22bc6499214ddd410aaa308ebbdd8240e7d7a80f61d861544c6a173a33c4;3aebbc9f822c3898ab572afb8058997b8f40efa0d138b8c81c6fc1a261f046c2;1110010
5596086bed47dcbbf8486bc260c48a0abc3579f3;4660c1b2b04d7d65d7d363a0ea3d2e117436bf9c1366d2b98b1bd02f64739f93;68955770256441542db6955f32b7e20ffb0d1fd0c0b13bc6e1a5f5b5edc8a4e5;1110100
b901748d758b29a3e33383af1b5b1dd4fca6ae02;a7da4baaca1b2ed0799e7f3c5e51b4d3a32dcfeaf38c8e6e63a3035d099d62d;6357274db48a9bcfffb863bd6197b42379417178c14975abfeaaf7083d0af86f;1101001
a9afe1552cda8dca8042530454c6df7205b0cda8;9c6f4a7869e17c17252ade63a411c53cbf6fdedb6fa2ec9f5b1be5ddcc36d637;29bc48735940dd02f475fa31c5390c500bf240f98a0b50670496ae865c1692e5;1001010
42d561920025443cfe383d5c201ac1e49a53403f;18389a989259b2b36a8e2fc6d3c2d1db9d19ec59945d92aa0b69c92cb99282f5;e8fc302ef06cdee4d43dd78e2db33698c2f23baf1f7fde9897fe82cd33e3f77c;1001
3a761da41bd5f85b78e92d22545fa791da5fbb12;efefaf21dbd76d5eeb37af7b13de674e448b174834f7c2140e3d00d53036ca25;420cb88ea94a334605ee9516204e7cffe9ea917fb6f8095400bfc1b6f3d750f;1101110
1eac5f7b8d6a612b145f355f0f1ebbbd5b5b5f0b;4d277657bfb1588d9bf5768e582c0c39643720dd148fd38c7200aa73954bcffd;631d5ad659530bc74fa059e0c842435f9faa47c0e2f89c03a10c86240975df29;111100
e0fec32944b9de7573e0e0f466cbe76ae5ebca1c;3b76c4a385fccf5acdae36d2dbaf5bf89644b002eac630a8182a649e521d9b68;3e0382e6ff06fd41b031b7f130a35739ea8d8c19711db709a739b947e5d719db;1110100
6e59ef2c0152794828998334ecf1ecee6bcd5226;9bec0c93efdb32cb15197be64b5c536f51f7c2dab4b43dd8814bc5daec69634c;bcb916a0426d719355306cef5a325815600b754c46b83cac15f1d6f66a30698a;10011
